rt;choice;condition
0.43;1.0;1.0
0.49;1.0;1.0
0.697;1.0;1.0
0.633;1.0;1.0
0.539;1.0;1.0
0.483;1.0;1.0
1.11;1.0;1.0
0.472;1.0;1.0
0.757;1.0;1.0
0.854;1.0;1.0
0.653;1.0;1.0
0.45;1.0;1.0
0.516;1.0;1.0
0.547;0.0;1.0
0.432;1.0;1.0
0.483;1.0;1.0
0.501;1.0;1.0
0.444;1.0;1.0
0.515;1.0;1.0
0.534;1.0;1.0
0.441;1.0;1.0
0.474;1.0;1.0
0.513;1.0;1.0
0.589;0.0;1.0
0.446;1.0;1.0
0.642;0.0;1.0
0.591;1.0;1.0
0.64;1.0;1.0
0.449;1.0;1.0
0.418;1.0;1.0
0.615;1.0;1.0
0.585;1.0;1.0
0.459;1.0;1.0
0.479;1.0;1.0
0.477;1.0;1.0
0.559;1.0;1.0
0.419;1.0;1.0
0.522;1.0;1.0
0.429;1.0;1.0
0.528;1.0;1.0
0.467;1.0;1.0
0.58;0.0;1.0
0.487;1.0;1.0
0.451;1.0;1.0
0.527;1.0;1.0
0.451;1.0;1.0
0.49;1.0;1.0
0.514;1.0;1.0
0.455;1.0;1.0
0.507;1.0;1.0
0.474;1.0;1.0
0.458;1.0;1.0
0.454;1.0;1.0
0.518;1.0;1.0
0.429;1.0;1.0
0.96;1.0;1.0
0.427;1.0;1.0
0.802;1.0;1.0
0.446;1.0;1.0
0.439;0.0;2.0
0.471;0.0;2.0
0.917;0.0;2.0
0.562;1.0;2.0
0.678;0.0;2.0
0.671;1.0;2.0
0.599;0.0;2.0
0.638;0.0;2.0
0.494;0.0;2.0
0.498;1.0;2.0
0.582;0.0;2.0
0.672;1.0;2.0
0.449;1.0;2.0
0.585;0.0;2.0
0.514;1.0;2.0
0.493;1.0;2.0
0.437;0.0;2.0
0.452;1.0;2.0
0.727;0.0;2.0
0.523;1.0;2.0
0.485;1.0;2.0
0.439;1.0;2.0
0.683;0.0;2.0
0.578;1.0;2.0
0.431;1.0;2.0
0.562;0.0;2.0
0.471;1.0;2.0
0.786;1.0;2.0
0.434;1.0;2.0
0.441;1.0;2.0
0.745;1.0;2.0
0.533;1.0;2.0
0.756;0.0;2.0
0.678;1.0;2.0
0.494;1.0;2.0
1.028;1.0;2.0
0.475;0.0;2.0
0.563;0.0;2.0
0.483;1.0;2.0
0.566;0.0;2.0
0.466;1.0;2.0
1.086;1.0;2.0
0.573;1.0;2.0
0.597;1.0;2.0
0.597;0.0;2.0
0.446;1.0;2.0
0.437;1.0;2.0
0.515;1.0;2.0
0.524;0.0;2.0
0.513;1.0;2.0
0.465;1.0;2.0
0.704;1.0;2.0
0.801;1.0;2.0
0.484;0.0;2.0
0.459;0.0;2.0
0.576;0.0;2.0
0.462;1.0;2.0
0.471;0.0;2.0
0.595;1.0;2.0
0.464;1.0;2.0
0.644;1.0;2.0
0.42;0.0;2.0
0.452;1.0;2.0
0.488;0.0;2.0
0.568;1.0;2.0
0.481;0.0;2.0
0.5;1.0;2.0
0.54;1.0;2.0
0.447;0.0;2.0
0.463;1.0;2.0
0.507;1.0;2.0
0.522;1.0;2.0
0.58;1.0;2.0
0.464;0.0;2.0
0.507;0.0;2.0
0.727;1.0;2.0
0.452;1.0;2.0
0.636;0.0;2.0
0.552;1.0;2.0
0.739;1.0;2.0
0.468;1.0;2.0
0.563;1.0;2.0
0.443;1.0;2.0
1.023;1.0;2.0
0.571;1.0;2.0
0.44;0.0;2.0
0.717;1.0;2.0
0.751;1.0;2.0
0.491;0.0;2.0
0.456;1.0;2.0
0.569;1.0;2.0
0.456;1.0;2.0
0.517;1.0;2.0
0.492;1.0;2.0
0.527;1.0;2.0
0.501;0.0;2.0
0.499;0.0;2.0
0.428;0.0;2.0
0.529;0.0;2.0
0.43;0.0;2.0
0.453;0.0;2.0
0.484;0.0;2.0
0.541;1.0;2.0
0.707;0.0;2.0
0.712;1.0;2.0
0.53;0.0;2.0
0.871;1.0;2.0
0.896;1.0;2.0
0.548;0.0;2.0
0.484;1.0;2.0
0.779;1.0;2.0
0.503;0.0;2.0
0.696;0.0;2.0
0.522;0.0;2.0
0.93;1.0;2.0
0.535;0.0;2.0
0.615;1.0;2.0
0.624;1.0;2.0
0.742;0.0;2.0
0.528;1.0;2.0
0.441;1.0;2.0
0.514;0.0;2.0
0.445;0.0;2.0
0.625;0.0;2.0
0.578;1.0;2.0
0.55;1.0;2.0
0.686;1.0;2.0
0.505;1.0;2.0
0.872;1.0;2.0
0.548;1.0;2.0
0.487;0.0;2.0
0.733;0.0;2.0
0.46;0.0;2.0
0.764;1.0;2.0
0.589;0.0;2.0
0.482;0.0;2.0
0.449;0.0;2.0
0.428;0.0;2.0
0.604;1.0;2.0
0.505;1.0;2.0
0.649;1.0;2.0
0.484;1.0;2.0
0.535;0.0;2.0
0.471;0.0;2.0
0.441;0.0;2.0
0.528;0.0;2.0
0.621;0.0;2.0
0.48;1.0;2.0
0.693;1.0;2.0
0.493;1.0;2.0
